SingleOrMulti,NormalOrRecOrRecLinear,lgN,RemapThreads,ComparisonThreads,SmartOrDumb,DatasetSize,NumNodes,lgN,lgP,lgE,starttime,startnlet1,endTime,endnlet2,Clock or Ticks is endtime sub startime,TotalTime,Result,real,user,sys
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,4,1,Dumb,16,8,4,3,1,1.11E+12,0,1.11E+12,0,,1.851388,PASS,"real	0m34.659s","user	0m34.013s","sys	0m0.620s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,4,2,Smart,16,8,4,3,1,1.12E+12,0,1.12E+12,0,,3.223457,PASS,"real	0m34.665s","user	0m34.030s","sys	0m0.615s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,4,2,Dumb,16,8,4,3,1,1.13E+12,0,1.13E+12,0,,1.775165,PASS,"real	0m34.735s","user	0m34.095s","sys	0m0.607s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,4,3,Smart,16,8,4,3,1,1.13E+12,0,1.13E+12,0,,3.223748,PASS,"real	0m34.652s","user	0m34.011s","sys	0m0.606s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,4,3,Dumb,16,8,4,3,1,1.14E+12,0,1.14E+12,0,,1.770857,PASS,"real	0m34.650s","user	0m34.016s","sys	0m0.607s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,4,4,Smart,16,8,4,3,1,1.15E+12,0,1.15E+12,0,,3.219148,PASS,"real	0m34.661s","user	0m34.022s","sys	0m0.616s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,4,4,Dumb,16,8,4,3,1,1.15E+12,0,1.15E+12,0,,1.770657,PASS,"real	0m34.660s","user	0m34.014s","sys	0m0.618s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,4,5,Smart,16,8,4,3,1,1.16E+12,0,1.16E+12,0,,3.219148,PASS,"real	0m34.661s","user	0m34.019s","sys	0m0.618s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,4,5,Dumb,16,8,4,3,1,1.17E+12,0,1.17E+12,0,,1.770737,PASS,"real	0m34.659s","user	0m34.008s","sys	0m0.618s"
emu_handler_and_loader,Bitonic_EMU_smart_REC.mwx,4,4,6,Smart,16,8,4,3,1,1.17E+12,0,1.17E+12,0,,3.223514,PASS,"real	0m34.665s","user	0m34.025s","sys	0m0.614s"
